engine,max_power,mileage,km_driven
796.0,37.0,16.1,80000
1498.0,97.9,25.6,30000
1498.0,97.9,25.6,33000
1373.0,93.7,16.02,90000
1461.0,108.5,19.01,80100
1497.0,117.3,17.4,120000
,,,10000
799.0,53.3,25.17,40000
2494.0,100.6,12.99,160000
998.0,67.04,20.51,47000
1396.0,88.7,21.38,25000
1199.0,84.0,23.84,26000
1186.0,73.97,24.0,29000
1197.0,83.1,21.4,50000
1298.0,88.2,16.1,58000
1197.0,85.8,17.4,120000
1197.0,81.8,20.4,50000
1197.0,80.0,17.0,80000
993.0,60.0,17.3,60000
998.0,67.04,23.1,36000
2494.0,102.0,12.8,120000
1248.0,73.9,21.1,185000
1461.0,63.1,23.08,50000
993.0,60.0,17.3,100000
1591.0,121.3,17.1,50000
998.0,67.1,18.2,80000
,,,60000
796.0,46.3,19.7,80000
1248.0,73.9,19.3,90000
998.0,66.1,19.0,162000
1248.0,88.76,20.77,110000
1248.0,75.0,17.8,120000
1461.0,63.1,23.08,45000
998.0,67.1,18.9,90000
1399.0,68.0,20.0,90000
1197.0,110.0,17.0,16500
1582.0,126.2,17.01,67000
1197.0,81.8,22.0,52000
1198.0,67.0,20.63,40000
1197.0,82.0,18.9,40000
2755.0,174.5,14.24,35000
799.0,53.26,20.71,13000
1198.0,86.8,18.5,40000
1198.0,73.75,17.0,10000
1498.0,97.7,16.95,9000
1364.0,67.06,23.59,70000
1197.0,78.9,20.36,60000
1461.0,83.8,20.45,40000
2179.0,140.0,15.1,93000
2494.0,102.0,12.8,80000
1193.0,64.08,15.64,50000
1797.0,147.5,14.5,68000
2143.0,170.0,14.84,25000
624.0,37.5,25.4,18000
1461.0,63.1,23.08,120000
998.0,67.1,18.9,35000
1248.0,74.0,26.59,60000
1197.0,78.9,20.36,70000
799.0,53.3,25.17,30000
1798.0,189.3,16.34,70000
1999.0,177.0,13.6,9000
2487.0,214.56,22.37,20000
1999.0,177.0,19.33,45000
2179.0,147.94,14.1,110000
1969.0,190.0,18.0,20000
2494.0,157.7,19.16,68089
998.0,67.05,21.79,58343
1248.0,74.0,27.39,38817
1199.0,88.7,18.2,56494
2494.0,100.6,12.99,79328
1197.0,81.8,22.0,5621
1496.0,88.73,16.78,25538
1197.0,81.8,22.0,69779
1186.0,73.97,24.0,56290
1995.0,190.0,16.78,7500
1995.0,190.0,16.78,8500
1199.0,88.76,19.0,7032
1598.0,103.5,14.3,11000
1984.0,150.0,16.8,2000
1197.0,78.9,20.36,106000
,,,162000
2354.0,158.8,11.1,120000
1248.0,74.0,26.59,90000
1582.0,126.32,22.32,70000
2494.0,102.0,12.8,240000
1248.0,88.8,21.5,100000
1599.0,103.2,13.9,214000
1493.0,110.0,16.8,214000
796.0,47.3,22.74,50000
1497.0,117.6,18.0,1000
1248.0,74.02,28.4,19000
1405.0,70.0,17.0,265000
998.0,67.05,23.95,80000
2179.0,140.0,16.0,50000
998.0,67.1,20.92,80000
814.0,55.2,21.1,50000
1199.0,84.0,23.84,100000
1196.0,73.0,15.1,120000
1999.0,177.0,13.6,9000
2487.0,214.56,22.37,20000
1999.0,177.0,19.33,45000
2179.0,147.94,14.1,110000
1969.0,190.0,18.0,20000
2494.0,157.7,19.16,68089
998.0,67.05,21.79,58343
1248.0,74.0,27.39,38817
1199.0,88.7,18.2,56494
2494.0,100.6,12.99,79328
1197.0,81.8,22.0,5621
1496.0,88.73,16.78,25538
1197.0,81.8,22.0,69779
1186.0,73.97,24.0,56290
1995.0,190.0,16.78,7500
1995.0,190.0,16.78,8500
1199.0,88.76,19.0,7032
1598.0,103.5,14.3,11000
1984.0,150.0,16.8,2000
1498.0,78.9,23.8,40000
1396.0,88.7,21.38,45000
796.0,46.3,19.7,80000
1120.0,71.01,24.4,135000
2494.0,100.6,12.99,120000
1364.0,67.1,23.59,67000
1248.0,74.02,28.4,50000
2494.0,102.0,12.8,134000
1461.0,63.1,23.08,110000
796.0,37.0,16.1,40000
1248.0,74.0,23.4,120000
1498.0,88.8,20.14,110000
1461.0,64.1,21.0,170000
796.0,37.0,16.1,80000
1248.0,74.0,25.2,47000
1197.0,81.86,19.1,93000
796.0,37.0,16.1,70000
998.0,67.04,23.1,50000
1399.0,68.05,20.0,70000
2179.0,138.03,13.93,80000
1196.0,86.8,18.16,44000
998.0,67.04,23.1,25000
1591.0,121.3,15.29,25000
1197.0,81.8,21.21,10000
2179.0,153.86,17.6,50000
1498.0,98.96,23.0,30000
1396.0,88.73,21.19,50000
1396.0,88.73,22.54,120000
1498.0,78.9,23.8,40000
2523.0,62.1,15.96,80000
1461.0,83.8,20.45,90000
1197.0,83.11,20.4,50000
999.0,67.0,22.5,2136
2494.0,100.0,12.99,250000
1197.0,81.83,18.6,35000
2494.0,100.6,12.99,120000
1248.0,74.0,27.39,70000
1461.0,108.45,19.6,18000
1248.0,73.74,18.2,110000
1248.0,88.5,23.65,60000
2982.0,168.5,12.55,60000
1248.0,74.0,26.59,147000
2982.0,168.5,12.55,130000
1991.0,147.9,11.5,99500
1405.0,71.0,17.0,110000
1198.0,67.04,19.49,35000
1493.0,110.0,16.2,110000
1198.0,77.0,25.32,100000
1373.0,93.7,16.02,21000
1498.0,90.0,23.5,60000
1405.0,70.0,16.6,40000
1086.0,68.05,19.81,50000
998.0,66.1,19.0,65000
998.0,67.1,18.9,80000
1582.0,126.2,23.9,119000
1248.0,88.5,24.52,80000
1248.0,74.0,25.2,90000
1591.0,121.4,17.01,20000
1248.0,74.0,25.2,80000
1198.0,77.0,25.32,44665
1493.0,113.4,20.8,10000
1197.0,81.86,20.14,60000
1198.0,86.8,18.5,22000
796.0,47.3,22.74,25000
793.0,47.0,27.62,70000
1298.0,85.8,17.5,123000
1598.0,103.6,20.54,70000
1199.0,79.4,18.6,70000
1364.0,67.06,23.59,45000
1197.0,82.0,18.9,40000
1248.0,74.02,28.4,30000
1799.0,130.0,12.9,90000
1373.0,91.1,17.5,34000
796.0,47.3,24.7,25000
796.0,47.3,22.74,50000
936.0,57.6,25.44,50000
1199.0,84.0,23.84,90000
936.0,57.6,25.44,70000
2179.0,138.0,13.93,146000
1196.0,70.0,15.6,85000
1396.0,52.8,17.88,201850
1248.0,74.0,26.59,30000
1248.0,74.02,28.4,15000
799.0,53.64,22.7,25000
998.0,67.1,20.92,90000
1248.0,73.9,19.3,80000
1396.0,53.5,17.2,50000
2523.0,63.0,13.6,80000
,,,110000
1197.0,81.83,18.6,38000
814.0,55.2,21.1,60000
1196.0,73.0,15.37,100000
1197.0,85.8,17.5,30000
1197.0,85.8,19.1,30000
1199.0,76.8,18.6,50000
1199.0,84.0,23.84,42000
1199.0,82.4,18.2,30000
796.0,46.3,19.7,60000
1956.0,170.0,17.1,14000
1497.0,117.3,17.4,22000
1598.0,103.6,20.54,90000
998.0,67.1,20.92,46000
1197.0,81.83,18.6,20000
1405.0,70.0,15.42,15000
1373.0,93.7,16.02,40000
1197.0,82.85,18.5,30000
814.0,55.2,21.1,15000
,,,50000
1341.0,83.0,15.3,110000
796.0,46.3,19.7,70000
1199.0,82.4,18.2,80000
,,,50000
1193.0,88.7,17.57,110000
1399.0,67.0,19.68,70000
796.0,46.3,19.7,50000
2494.0,100.6,12.99,190000
2523.0,63.0,13.6,100000
796.0,47.3,22.74,60000
998.0,67.04,20.51,40000
1248.0,73.9,19.3,90000
2179.0,147.94,14.1,110000
1248.0,88.5,24.3,32000
2755.0,171.5,11.36,30000
1582.0,126.2,19.67,58000
1248.0,88.5,24.3,5000
1197.0,81.83,18.6,25000
1197.0,81.86,18.9,32000
1199.0,88.7,18.7,30000
1497.0,117.3,15.4,43000
1497.0,113.42,17.7,60000
1198.0,76.0,19.34,50000
1196.0,86.8,18.16,14200
814.0,55.2,21.1,10000
799.0,53.64,22.7,25000
1194.0,94.68,19.0,19100
1086.0,68.0,20.3,25000
1498.0,98.96,23.0,54000
1461.0,84.8,22.71,35000
1197.0,81.86,18.9,20000
1248.0,88.5,23.65,52000
1396.0,90.0,23.0,120000
1956.0,170.0,17.1,50000
1248.0,88.8,20.77,120000
1248.0,90.0,18.8,90000
998.0,67.1,18.9,120000
1498.0,103.52,21.14,101500
1582.0,126.3,22.32,75000
,0.0,,97500
,0.0,,97500
1997.0,120.0,15.4,100000
1461.0,108.45,19.01,55735
2179.0,140.0,15.1,80000
796.0,47.3,24.7,50000
1399.0,68.1,20.0,70000
1197.0,78.9,20.36,76000
1197.0,81.8,21.21,1500
2523.0,62.1,15.96,76000
998.0,67.04,20.51,40000
814.0,55.2,21.1,60000
2494.0,102.0,12.8,170000
2477.0,175.56,13.5,181491
936.0,56.3,25.44,53319
1498.0,108.62,21.66,40906
1496.0,88.7,17.6,31711
814.0,55.2,21.1,43755
799.0,53.3,25.17,66693
998.0,67.1,19.0,59549
2494.0,100.6,12.99,94385
998.0,67.1,18.2,73730
1582.0,126.32,22.32,221889
1498.0,98.6,25.8,116104
1197.0,81.8,22.0,150546
2755.0,174.5,14.24,148120
1499.0,110.0,15.8,20000
1197.0,81.86,18.9,30000
2179.0,138.1,13.7,142000
1948.0,68.0,12.2,20000
1248.0,90.0,18.8,120000
1086.0,68.05,19.81,80000
1405.0,69.01,19.09,60000
999.0,67.0,23.01,25000
2523.0,63.0,13.6,50000
1493.0,100.0,18.49,126000
1248.0,74.0,26.59,170000
796.0,47.3,22.74,24000
1248.0,88.5,24.52,100000
1199.0,83.81,24.0,10000
1399.0,68.0,20.0,70000
796.0,34.2,16.8,40000
998.0,67.1,18.9,110000
1086.0,68.05,19.81,80000
1193.0,88.7,17.57,16500
998.0,67.05,23.95,30000
1248.0,88.5,24.52,80000
2179.0,147.94,14.1,50000
998.0,67.05,23.95,25000
1186.0,73.97,24.0,20000
799.0,53.3,25.17,60000
1248.0,74.0,22.9,70000
2523.0,62.1,15.96,50000
2997.0,218.0,9.0,100000
998.0,67.05,23.95,52000
1248.0,74.0,23.4,80000
814.0,55.2,21.1,50000
2179.0,120.0,15.4,60000
998.0,67.05,23.95,25000
1120.0,70.0,24.0,50000
1498.0,98.59,22.77,125000
998.0,67.04,20.51,80000
2523.0,63.0,15.96,70000
1396.0,90.0,23.0,90000
1248.0,74.0,22.95,50000
2498.0,105.0,16.55,101000
2498.0,112.0,14.0,168000
2498.0,112.0,14.0,168000
998.0,67.1,18.9,40000
1172.0,65.0,0.0,28900
998.0,67.1,18.9,20000
1999.0,177.0,13.6,9000
2487.0,214.56,22.37,20000
1999.0,177.0,19.33,45000
2179.0,147.94,14.1,110000
1969.0,190.0,18.0,20000
2494.0,157.7,19.16,68089
998.0,67.05,21.79,58343
1248.0,74.0,27.39,38817
1199.0,88.7,18.2,56494
2494.0,100.6,12.99,79328
1197.0,81.8,22.0,5621
1496.0,88.73,16.78,25538
1197.0,81.8,22.0,69779
1186.0,73.97,24.0,56290
1995.0,190.0,16.78,7500
1995.0,190.0,16.78,8500
1199.0,88.76,19.0,7032
1598.0,103.5,14.3,11000
1984.0,150.0,16.8,2000
1493.0,100.0,18.49,165000
998.0,66.1,19.0,98500
1197.0,78.9,20.36,98000
2498.0,105.0,16.55,40000
1248.0,92.0,20.3,90000
796.0,46.3,19.7,90000
1493.0,110.0,17.1,110000
1248.0,88.5,25.1,77800
1493.0,100.0,18.49,100000
1405.0,71.0,19.0,120000
1197.0,82.0,19.1,80000
1198.0,82.0,18.15,21000
1197.0,85.8,19.0,100000
1197.0,81.8,21.21,25000
1498.0,98.96,23.0,30000
1496.0,105.5,17.8,25000
2143.0,204.0,13.0,40000
2982.0,169.0,11.5,160000
1198.0,82.0,18.15,51492
1598.0,103.6,20.54,72000
1196.0,86.8,18.16,60000
2523.0,62.1,15.96,136000
1086.0,62.1,17.92,60000
,,,110000
1086.0,62.1,17.92,90000
1461.0,84.8,22.71,91000
1086.0,62.1,17.92,90000
998.0,67.04,20.51,50000
1086.0,68.05,19.81,20000
2489.0,95.0,14.0,120000
1061.0,67.0,18.9,150000
1405.0,69.01,19.09,52000
2523.0,63.0,13.6,167000
1248.0,74.02,28.4,40000
1248.0,75.0,17.8,190000
999.0,67.0,23.01,50000
2498.0,112.0,14.0,70000
998.0,67.1,18.9,80000
2523.0,63.0,13.6,120000
1493.0,100.0,18.49,40000
814.0,55.2,21.1,17000
998.0,67.1,19.0,180000
998.0,67.04,23.1,50000
814.0,55.2,21.1,65000
624.0,35.0,26.0,10000
2523.0,63.0,13.6,70000
2499.0,72.4,13.58,90000
1396.0,88.73,22.54,50000
1197.0,81.86,18.6,10000
1493.0,100.0,18.49,25000
2179.0,115.0,13.5,100000
2354.0,152.0,10.1,70000
1198.0,67.06,20.63,30000
1198.0,82.0,18.15,40000
1396.0,88.76,21.9,135000
998.0,67.04,23.1,35000
1495.0,94.0,13.2,120000
2523.0,62.1,15.96,120000
1396.0,69.0,19.09,190000
2523.0,62.1,15.96,120000
,,,120000
2523.0,63.0,13.6,175000
2523.0,63.0,15.96,175000
1498.0,97.7,16.95,25000
1248.0,88.76,21.02,80000
1120.0,71.0,24.4,70000
1197.0,81.86,20.14,10000
1194.0,94.68,19.0,6000
1598.0,103.5,20.5,90000
2523.0,63.0,15.96,110000
2523.0,63.0,13.6,120000
2494.0,100.6,12.99,50000
1197.0,81.86,18.9,20000
999.0,67.0,23.01,35000
1498.0,88.8,20.14,60000
1199.0,79.4,18.6,68000
1197.0,81.8,20.4,30000
2179.0,140.0,16.0,54000
,,,65000
,,,80000
1405.0,68.0,16.8,120000
1197.0,81.86,18.9,30000
,,,55113
1047.0,69.0,27.28,50000
998.0,67.05,23.95,6000
1196.0,73.0,15.37,50000
2179.0,120.0,12.05,90000
2494.0,102.0,12.8,126000
1396.0,69.0,25.0,90000
1196.0,86.8,18.16,80000
2609.0,120.0,10.5,70000
,,,80000
814.0,55.2,21.1,80000
814.0,55.2,21.1,80000
796.0,46.3,19.7,150000
1396.0,52.8,17.88,110000
1248.0,88.5,24.3,110000
1199.0,73.9,22.07,80000
1197.0,81.86,18.9,20000
2489.0,95.0,13.0,120000
2523.0,63.0,15.96,120000
1248.0,91.2,20.4,80000
1120.0,70.0,24.0,91500
1248.0,73.9,19.3,120000
1396.0,90.0,23.0,100000
2498.0,112.0,14.0,120000
1198.0,86.7,17.8,80000
2523.0,75.0,15.4,90000
998.0,67.05,23.95,70000
,,,110000
2179.0,115.0,13.5,150000
,,,60000
1248.0,74.0,22.3,40000
2953.0,156.0,12.8,110000
1197.0,82.0,18.9,20000
1194.0,94.68,19.0,10000
2179.0,140.0,15.1,90000
1150.0,74.9,15.26,70000
2523.0,63.0,13.6,120000
2179.0,120.0,10.5,120000
1086.0,62.0,0.0,90000
799.0,53.0,22.7,80000
2523.0,63.0,13.6,132478
1197.0,85.8,19.1,45000
1396.0,69.0,19.09,120000
1194.0,94.68,19.0,10000
796.0,37.0,16.1,51000
1799.0,130.0,12.9,105000
2179.0,140.0,15.1,100000
796.0,46.3,19.7,30000
1994.0,105.3,12.2,60000
1248.0,74.0,22.9,86000
1198.0,67.0,20.62,15000
1248.0,73.9,19.3,137500
999.0,67.0,23.01,60000
1248.0,73.74,18.2,70000
998.0,67.04,20.51,5000
1197.0,81.8,20.4,30000
814.0,55.2,21.1,40000
1461.0,108.45,19.01,60000
1497.0,78.0,17.7,70000
1199.0,84.0,20.3,15000
1248.0,73.9,19.3,110000
796.0,37.0,16.1,70000
1498.0,98.63,27.4,10000
1373.0,93.7,16.02,60000
1248.0,90.0,18.8,110000
1373.0,93.7,16.02,60000
1197.0,81.83,18.6,35000
796.0,34.2,16.8,70000
1248.0,90.0,18.8,110000
2523.0,63.0,13.6,100000
796.0,46.3,19.7,120000
796.0,35.0,19.7,90000
1498.0,98.6,25.8,70000
2494.0,100.6,12.99,88000
814.0,55.2,21.1,38000
998.0,67.04,20.51,90000
1197.0,83.1,21.4,60000
1197.0,80.0,18.5,60000
1248.0,73.94,23.2,156060
1582.0,126.2,19.67,60000
1197.0,83.14,20.85,70000
1582.0,126.2,23.9,35000
1997.0,140.0,16.0,50000
1197.0,85.8,18.6,50000
1086.0,63.0,17.8,100000
796.0,47.3,22.74,15000
796.0,47.3,22.74,20000
1498.0,98.59,22.77,80000
1461.0,64.1,20.8,110000
998.0,67.04,20.51,35000
998.0,67.04,20.51,35000
2956.0,69.01,14.07,140000
998.0,67.1,19.0,40000
2179.0,120.0,14.4,110000
1197.0,85.8,18.5,70000
1405.0,71.0,17.0,100000
1086.0,68.05,19.81,20000
1197.0,81.86,18.9,15000
1388.0,68.0,16.6,70000
1198.0,82.0,18.15,20000
1086.0,68.05,19.81,15000
1248.0,74.02,28.4,107000
1248.0,75.0,18.4,54000
796.0,46.3,19.7,58000
2179.0,120.0,12.05,110000
1493.0,110.0,16.8,90000
998.0,68.05,20.3,43000
1248.0,74.02,28.4,43000
1248.0,88.8,20.77,60000
1396.0,85.0,12.8,150000
999.0,67.0,23.01,35000
1199.0,84.8,18.2,46000
796.0,34.2,16.8,10000
1197.0,81.83,18.6,35000
799.0,53.3,25.17,50000
,,,60000
1582.0,126.32,22.32,80000
1047.0,69.0,24.7,110000
1248.0,88.76,20.77,14000
799.0,53.3,25.17,28000
814.0,55.2,21.1,57000
1248.0,74.0,26.59,50000
1364.0,87.2,21.43,60000
1197.0,82.85,18.5,70000
1197.0,81.83,18.6,40000
1248.0,88.8,21.12,120000
2179.0,118.3,14.02,140000
1405.0,70.0,17.0,100000
2179.0,118.3,14.02,120000
1405.0,69.01,19.09,120000
1399.0,67.0,17.8,64000
998.0,67.04,23.1,25000
999.0,72.0,20.0,12000
936.0,57.6,25.44,70000
2179.0,120.0,11.0,120000
799.0,53.3,25.17,90000
1199.0,82.4,18.2,40000
2523.0,63.0,13.6,300000
1396.0,69.0,19.09,120000
1495.0,94.0,13.2,90000
1399.0,68.0,17.7,100000
2523.0,62.1,15.96,90000
1997.0,120.0,15.4,50000
1968.0,141.0,20.6,168000
1399.0,68.0,20.0,110000
2523.0,63.0,13.6,120000
1396.0,69.0,19.09,120000
1498.0,98.6,25.5,40000
1497.0,78.0,17.7,110000
1396.0,90.0,21.9,100000
1248.0,88.5,24.3,40000
1197.0,81.86,18.6,30000
796.0,37.0,16.1,80000
1399.0,68.0,20.0,90000
2494.0,102.0,12.8,200000
2982.0,171.0,11.5,125000
1197.0,80.0,17.0,80000
